BLACK,,
H,S,L
75,100,85
75,100,95
EMERALD+KELLY,,
H,S,L
75,80,35
75,80,45
75,100,35
75,100,45
80,80,35
80,80,45
80,100,35
80,100,45
85,40,35
85,40,45
85,40,55
85,60,35
85,60,45
85,80,25
85,80,35
85,80,45
85,80,55
85,80,65
85,100,25
85,100,35
85,100,45
90,40,35
90,40,45
90,40,55
90,40,65
90,60,35
90,60,45
90,80,25
90,80,35
90,80,45
90,80,55
90,80,65
90,100,25
90,100,35
95,40,35
95,40,45
95,40,55
95,60,25
95,60,35
95,60,45
95,60,55
95,60,65
95,80,25
95,80,35
95,80,45
95,80,55
95,80,65
95,100,25
95,100,35
95,100,45
100,40,45
100,40,55
100,60,25
100,60,35
100,60,45
100,60,55
100,60,65
100,80,25
100,80,35
100,80,45
100,80,55
100,80,65
100,100,25
100,100,35
100,100,45
105,40,45
105,40,55
105,60,25
105,60,35
105,60,45
105,60,55
105,60,65
105,80,25
105,80,35
105,80,45
105,80,55
105,80,65
105,100,25
105,100,35
105,100,45
105,100,55
110,40,45
110,40,55
110,60,35
110,60,45
110,60,55
110,60,65
110,80,25
110,80,35
110,80,45
110,80,55
110,80,65
110,100,35
110,100,45
110,100,55
115,40,35
115,40,45
115,40,55
115,40,55
115,40,65
115,60,35
115,60,45
115,60,55
115,60,65
115,80,25
115,80,35
115,80,45
115,80,55
115,80,65
115,100,35
115,100,45
115,100,55
115,100,65
120,40,35
120,40,45
120,40,55
120,40,65
120,60,35
120,60,45
120,60,55
120,60,65
120,80,35
120,80,45
120,80,55
120,80,65
120,100,35
120,100,45
120,100,55
120,100,65
125,40,45
125,40,55
125,40,65
125,60,35
125,60,45
125,60,55
125,60,65
125,80,35
125,80,45
125,80,55
125,80,65
125,100,35
125,100,45
125,100,55
125,100,65
130,40,45
130,40,55
130,40,65
130,60,25
130,60,35
130,60,45
130,60,55
130,60,65
130,80,35
130,80,45
130,80,55
130,80,65
130,100,25
130,100,35
130,100,45
130,100,55
130,100,65
135,40,45
135,40,55
135,40,65
135,60,35
135,60,45
135,60,55
135,60,65
135,80,35
135,80,45
135,80,55
135,80,65
135,100,25
135,100,35
135,100,45
135,100,55
135,100,65
140,40,45
140,40,55
140,40,65
140,60,35
140,60,45
140,60,55
140,60,65
140,80,35
140,80,45
140,80,55
140,80,65
140,100,25
140,100,35
140,100,45
140,100,55
140,100,65
145,40,45
145,40,55
145,40,65
145,60,45
145,60,55
145,80,35
145,80,45
145,80,55
145,80,65
145,100,35
